question,option_a,option_b,option_c,option_d,answer,tier,topic,discrimination_a,difficulty_b,guessing_c
What does 'abstemious' mean?,Gluttonous,Moderate in eating,Excessive,Indulgent,B,C4,Moderation,2,1.12,0.25
What does 'bucolic' mean?,Urban,Rural,Metropolitan,Industrial,B,C4,Setting,2.1,1.22,0.25
What does 'chicanery' mean?,Honesty,Trickery,Truth,Sincerity,B,C4,Deception,2.1,1.32,0.25
What does 'didactic' mean?,Entertaining,Instructive,Amusing,Playful,B,C4,Education,2.2,1.42,0.25
What does 'enervate' mean?,Energize,Weaken,Strengthen,Invigorate,B,C4,Energy,2.2,1.52,0.25
What does 'fulsome' mean?,Insufficient,Excessive,Moderate,Balanced,B,C4,Excess,2.2,1.62,0.25
What does 'gaffe' mean?,Success,Social blunder,Achievement,Victory,B,C4,Mistakes,2.1,1.72,0.25
What does 'halcyon' mean?,Stormy,Peaceful,Chaotic,Turbulent,B,C4,Peace,2.3,1.82,0.25
What does 'impecunious' mean?,Wealthy,Poor,Rich,Affluent,B,C4,Poverty,2.3,1.92,0.25
What does 'jocose' mean?,Serious,Playful,Sad,Angry,B,C4,Humor,2.4,2.02,0.25
What does 'kakistocracy' mean?,Rule by best,Rule by worst,Democracy,Monarchy,B,C4,Government,2.5,2.12,0.25
What does 'legerdemain' mean?,Honesty,Sleight of hand,Truth,Openness,B,C4,Deception,2.5,2.22,0.25
What does 'magniloquent' mean?,Quiet,Lofty in speech,Simple,Plain,B,C4,Speech,2.5,2.32,0.25
What does 'nugatory' mean?,Important,Worthless,Valuable,Significant,B,C4,Value,2.6,2.42,0.25
What does 'obsequious' mean?,Defiant,Servile,Proud,Independent,B,C4,Behavior,2.6,2.52,0.25
What does 'wet' mean?,Dry,Moist,Arid,Desert,B,C1,Moisture,0.8,-1.95,0.25
What does 'young' mean?,Old,Not old,Ancient,Elderly,B,C1,Age,0.8,-1.88,0.25
What does 'tall' mean?,Short,High,Low,Small,B,C1,Height,0.9,-1.78,0.25
What does 'wide' mean?,Narrow,Broad,Thin,Slim,B,C1,Width,0.9,-1.68,0.25
What does 'deep' mean?,Shallow,Extending far down,Surface,Top,B,C1,Depth,1,-1.58,0.25
What does 'allocate' mean?,Keep,Distribute,Hoard,Save,B,C2,Distribution,1.3,-0.88,0.25
What does 'assess' mean?,Ignore,Evaluate,Neglect,Overlook,B,C2,Evaluation,1.4,-0.78,0.25
What does 'attain' mean?,Lose,Achieve,Fail,Miss,B,C2,Achievement,1.4,-0.68,0.25
What does 'augment' mean?,Decrease,Increase,Reduce,Diminish,B,C2,Increase,1.5,-0.58,0.25
What does 'avert' mean?,Cause,Prevent,Create,Start,B,C2,Prevention,1.5,-0.48,0.25
What does 'abdicate' mean?,Accept,Give up power,Take power,Rule,B,C3,Power,1.6,0.14,0.25
What does 'beatitude' mean?,Misery,Supreme happiness,Sadness,Depression,B,C3,Happiness,1.7,0.24,0.25
What does 'circumvent' mean?,Face,Avoid,Confront,Meet,B,C3,Avoidance,1.7,0.34,0.25
What does 'debilitate' mean?,Strengthen,Weaken,Energize,Empower,B,C3,Weakness,1.8,0.44,0.25
What does 'effulgent' mean?,Dark,Radiant,Dim,Dull,B,C3,Light,1.8,0.54,0.25
What does 'florid' mean?,Plain,Ornate,Simple,Bare,B,C3,Style,1.7,0.64,0.25
What does 'grandstand' mean?,Hide,Perform for attention,Retreat,Whisper,B,C3,Performance,1.7,0.74,0.25
What does 'hirsute' mean?,Bald,Hairy,Smooth,Shaven,B,C3,Appearance,1.8,0.84,0.25
What does 'inimical' mean?,Friendly,Hostile,Supportive,Helpful,B,C3,Hostility,1.8,0.94,0.25
What does 'jettison' mean?,Keep,Discard,Save,Preserve,B,C3,Disposal,1.6,0.7,0.25
What does 'abrogate' mean?,Establish,Abolish,Create,Build,B,C4,Cancellation,2,1.08,0.25
What does 'byzantine' mean?,Simple,Complex,Direct,Clear,B,C4,Complexity,2.1,1.18,0.25
What does 'concatenate' mean?,Separate,Link together,Divide,Split,B,C4,Connection,2.1,1.28,0.25
What does 'dilettante' mean?,Expert,Amateur,Professional,Master,B,C4,Expertise,2.2,1.38,0.25
What does 'epistolary' mean?,Oral,Related to letters,Verbal,Spoken,B,C4,Writing,2.2,1.48,0.25
What does 'fugacious' mean?,Permanent,Fleeting,Lasting,Eternal,B,C4,Duration,2.3,1.58,0.25
What does 'gasconade' mean?,Whisper,Boastful talk,Silence,Modesty,B,C4,Boasting,2.3,1.68,0.25
What does 'hiatus' mean?,Continuation,Break,Connection,Flow,B,C4,Interruption,2,1.78,0.25
What does 'ineluctable' mean?,Avoidable,Inevitable,Optional,Changeable,B,C4,Inevitability,2.4,1.88,0.25
What does 'jurisprudent' mean?,Lawless,Skilled in law,Criminal,Ignorant,B,C4,Legal Knowledge,2.4,1.98,0.25
