question,option_a,option_b,option_c,option_d,answer,tier,topic
How much money is Rs 2 + Rs 2 + Rs 0.50?,Rs 4.00,Rs 4.50,Rs 5.00,Rs 3.50,B,C1,Money - Addition
Roger started homework when clock showed certain time. He finished in 3 hours 15 minutes. At what time did he finish?,See options,See options,See options,See options,A,C2,Time - Addition
There are four reference book shelves with four books on each shelf. How many books in total?,12,14,16,20,C,C1,Multiplication - Groups
Lucy collected 95 pounds of shells. Her friend gathered 15 pounds. How many pounds in total?,100,110,115,120,B,C1,Addition - Word Problems
Mike had 4 quarters and 4 dimes. How much money left after giving Marshal 50 cents?,50 cents,70 cents,80 cents,90 cents,D,C3,Money - Subtraction
How many months are there in 3 years?,12,24,36,48,C,C2,Time - Conversion
"Alice went to supermarket with 800 cents. She shopped for 530 cents and spent 60 cents on metro one way. If she took metro both ways, how much money is left?",120 cents,150 cents,130 cents,170 cents,B,C3,Subtraction - Multi-step
"Max went home to school by cycle (785m), then walked school to library (135m). He walked back library to school and cycled home. How much distance did he cycle?",1 km 470 m,1 km 570 m,1 km 200 m,1 km 238 m,B,C3,Measurement - Distance Addition
Find the missing number: 128 + 314 - ? = 653 - 482,271,583,571,143,A,C3,Addition and Subtraction - Equations
"In a class, 14 collect stamps, 16 collect postcards, 5 collect both, 4 collect none. How many students in class?",25,29,30,26,B,C4,Set Theory - Venn Diagrams
"William has square tiles: small 5cm, big 7cm. Each row is 385cm long. How many more small tiles than big tiles?",18,20,22,24,C,C4,Division - Comparison
Akshat bought 2 xylophones at Rs 95 each and 3 trumpets at Rs 80 each. Total amount spent?,Rs 390,Rs 420,Rs 385,Rs 375,A,C2,Multiplication and Addition - Money
"A clock is 35 mins fast. If it shows 8:15 am, what is the actual time?",7:50 a.m.,7:40 a.m.,8:50 a.m.,8:40 a.m.,B,C3,Time - Subtraction
Arrange from greatest to smallest: 15 tens + 32 ones + 14 ones; 2 tens + 13 tens + 101 ones; 70 tens + 12 ones; 65 tens + 12 tens + 10 ones,"S, R, Q, P","R, S, Q, P","S, R, P, Q","R, S, P, Q",A,C3,Number Sense - Place Value Comparison
Sum of temperatures shown in two thermometers (showing around 25�C and 18�C)?,27�C,17�C,33�C,43�C,D,C2,Addition - Temperature
A shopkeeper has 7 bags of sugar. Total weight is 42 kg. What is weight of each bag if all are same weight?,7 kg,5 kg,8 kg,6 kg,D,C2,Division - Equal Groups
Trishi sold 326 magazines on Monday. She sold 89 less on Tuesday than Monday. How many sold altogether on both days?,741,415,474,563,D,C3,Subtraction and Addition - Word Problems
Kunal has Rs 108. If he distributes equally amongst 3 friends how much will each get?,Rs 36,Rs 27,Rs 18,Rs 24,A,C2,Division - Sharing
