subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,probability_035,If P(E) = 1/4,P(F) = 1/2 and P(E and F) = 1/8,what is P(not E and not F)?,3/8,5/8,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_036,If P(not E or not F) = 0.25,are E and F mutually exclusive?,Yes,No,Cannot be determined,a,Probability - c3,C2,1.5,-0.5,0.25
maths,probability_037,If P(A) = 0.42,P(B) = 0.48 and P(A and B) = 0.16,what is P(not A)?,0.58,0.42,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_038,If P(A) = 0.42,P(B) = 0.48 and P(A and B) = 0.16,what is P(not B)?,0.42,0.52,a,Probability - b,C2,1.5,-0.5,0.25
maths,probability_039,If P(A) = 0.42,P(B) = 0.48 and P(A and B) = 0.16,what is P(A or B)?,0.74,0.90,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_040,In Class XI,40% study Maths and 30% study Biology. 10% study both. If a student is selected at random,what is P(Maths or Biology)?,0.60,0.70,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_041,In an entrance test,P(pass first exam) = 0.8,P(pass second exam) = 0.7,P(pass at least one) = 0.95. What is P(pass both)?,0.55,a,Probability - 0.65,C2,1.5,-0.5,0.25
maths,probability_042,P(pass both English and Hindi) = 0.5,P(pass neither) = 0.1,P(pass English) = 0.75. What is P(pass Hindi)?,0.85,0.75,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_043,In a class of 60 students,30 opted for NCC,32 for NSS and 24 for both. What is P(student opted for NCC or NSS)?,38/60,30/60,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_044,In a class of 60 students,30 opted for NCC,32 for NSS and 24 for both. What is P(student has opted neither NCC nor NSS)?,22/60,24/60,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_045,In a class of 60 students,30 opted for NCC,32 for NSS and 24 for both. What is P(student has opted NSS but not NCC)?,8/60,32/60,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_046,Which assignment is NOT valid for sample space S = {__,__,__}?,P(__)=0.3,P(__)=0.4,a,Probability - P(__)=0.3,C2,1.5,-0.5,0.25
maths,probability_047,Which assignment is NOT valid: (a) All probabilities = 1/7 (b) Sum > 1 (c) Negative probability (d) P(__) = 3/2?,Only b,Only c and d,b,c and d,a,Probability - c2,C2,1.5,-0.5,0.25
maths,probability_048,If P(A) = 0.5,P(B) = 0.7,P(A _ B) = 0.6,are P(A) and P(B) consistently defined?,Yes,a,Probability - Only if A and B are independent,C2,1.5,-0.5,0.25
maths,probability_049,If P(A) = 0.5,P(B) = 0.4,P(A _ B) = 0.8,are P(A) and P(B) consistently defined?,Yes,a,Probability - Only if mutually exclusive,C2,1.5,-0.5,0.25
maths,probability_050,If P(A) = 1/3,P(B) = 1/5,P(A _ B) = 1/15,what is P(A _ B)?,7/15,a,Probability - 1/3,C2,1.5,-0.5,0.25
maths,probability_051,If P(A) = 0.35,P(A _ B) = 0.25,P(A _ B) = 0.6,what is P(B)?,0.50,a,Probability - 0.25,C2,1.5,-0.5,0.25
maths,probability_052,If P(A) = 0.5,P(B) = 0.35,P(A _ B) = 0.7,what is P(A _ B)?,0.15,a,Probability - 0.10,C2,1.5,-0.5,0.25
maths,probability_053,Two dice are thrown. Event A: sum > 8. Event B: 2 occurs on either die. Event C: sum ³ 7 and multiple of 3. Which pairs are mutually exclusive?,A and B,B and C,A and C,None of these,d,Probability - probability,C3,1.5,0.5,0.25
maths,probability_054,Three coins are tossed. Events: A (three heads),B (two heads one tail),C (three tails),D (head on first coin). Which events are mutually exclusive?,A and B,a,Probability - All pairs,C2,1.5,-0.5,0.25
maths,probability_055,Three coins are tossed. Events: A (three heads),B (two heads one tail),C (three tails),D (head on first coin). Which are simple events?,A,b,Probability - A,C2,1.5,-0.5,0.25
maths,probability_056,Three coins are tossed. Events: A (three heads),B (two heads one tail),C (three tails),D (head on first coin). Which are compound events?,B and D,a,Probability - B,C2,1.5,-0.5,0.25
maths,probability_057,For two dice: A (even on first die),B (odd on first die),C (sum ² 5). What is event A'?,B,C,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_058,For two dice: A (even on first die),B (odd on first die),C (sum ² 5). Is A = B'?,Yes,No,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_059,For two dice: A (even on first die),B (odd on first die),C (sum ² 5). Are A and B mutually exclusive?,Yes,No,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_060,For two dice: A (even on first die),B (odd on first die),C (sum ² 5). Are A and B mutually exclusive and exhaustive?,Yes,No,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_061,For two dice: A (even on first die),B (odd on first die),C (sum ² 5). Are A and C mutually exclusive?,Yes,No,a,Probability - b,C2,1.5,-0.5,0.25
maths,probability_062,For two dice: A (even on first die),B (odd on first die). Are A and B' mutually exclusive?,Yes,No,Cannot determine,a,Probability - c3,C2,1.5,-0.5,0.25
maths,probability_063,A box has 10 red,20 blue,30 green marbles. 5 drawn. What is P(all blue)?,__C_/__C_,__C_/__C_,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_064,A box has 10 red,20 blue,30 green marbles. 5 drawn. What is P(at least one green)?,1 - __C_/__C_,1 - __C_/__C_,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_065,4 cards drawn from 52 cards. What is P(3 diamonds and 1 spade)?,(__C_ _ __C_)/__C_,__C_/__C_,(__C_ _ __C_)/__C_,__C_/__C_,a,Probability - probability,C3,1.5,0.5,0.25
maths,probability_066,A die has two faces with '1',three faces with '2',one face with '3'. What is P(2)?,1/2,1/3,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_067,A die has two faces with '1',three faces with '2',one face with '3'. What is P(1 or 3)?,1/2,1/3,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_068,A die has two faces with '1',three faces with '2',one face with '3'. What is P(not 3)?,5/6,1/6,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_069,In a lottery with 10,000 tickets and 10 prizes,what is P(not getting prize with one ticket)?,9990/10000,9999/10000,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_070,In a lottery with 10,000 tickets and 10 prizes,what is P(not getting prize with two tickets)?,9990/10000 _ 9989/9999,(9990/10000)_,a,Probability - a,C2,1.5,-0.5,0.25
maths,probability_071,Out of 100 students,two sections of 40 and 60 are formed. You and friend among 100. What is P(both same section)?,(__C_ + __C_)/___C_,40/100 + 60/100,(40 + 60)/100,a,Probability - c3,C2,1.5,-0.5,0.25
maths,probability_072,Out of 100 students,two sections of 40 and 60 are formed. You and friend among 100. What is P(both different sections)?,(__C_ _ __C_)/___C_,1 - (__C_ + __C_)/___C_,Both a and b,a,Probability - c3,C2,1.5,-0.5,0.25
maths,probability_073,A committee of 2 persons from 2 men and 2 women. What is P(no man)?,1/6,1/3,1/4,1/2,a,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_074,A committee of 2 persons from 2 men and 2 women. What is P(one man)?,2/3,1/2,1/3,1/6,a,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_075,A committee of 2 persons from 2 men and 2 women. What is P(two men)?,1/6,1/3,1/2,2/3,a,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_076,Number lock has 4 wheels (0-9),opens with 4 specific digits,no repetition. What is P(getting right sequence)?,1/5040,1/10000,a,Probability - c,C2,1.5,-0.5,0.25
maths,probability_077,4-digit numbers > 5000 formed from {0,1,3,5,7} with repetition. What is P(divisible by 5)?,a,Probability - 3/5,C2,1.5,-0.5,0.25
maths,probability_078,4-digit numbers > 5000 formed from {0,1,3,5,7} without repetition. What is P(divisible by 5)?,a,Probability - 2/5,C2,1.5,-0.5,0.25
maths,probability_079,If P(A _ B _ C) = P(A) + P(B) + P(C) - P(A_B) - P(A_C) - P(B_C) + x,what is x?,P(A_B_C),-P(A_B_C),0,a,Probability - c3,C2,1.5,-0.5,0.25
maths,probability_080,In a relay race with 5 teams A,B,C,D,E,a,Probability - C finish 1st,C2,1.5,-0.5,0.25
maths,probability_081,In a relay race with 5 teams,what is P(A,B,C are first three in any order)?,1/10,a,Probability - _C_/5!,C2,1.5,-0.5,0.25
maths,probability_082,When 7 cards drawn from 52,what is P(all Kings)?,0,(_C_ _ __C_)/__C_,1/__C_,a,Probability - c4,C2,1.5,-0.5,0.25
maths,probability_083,When 7 cards drawn from 52,what is P(exactly 3 Kings)?,(_C_ _ __C_)/__C_,_C_/__C_,3/52,a,Probability - c3,C2,1.5,-0.5,0.25
maths,probability_084,When 7 cards drawn from 52,what is P(at least 3 Kings)?,P(3 Kings) + P(4 Kings),_C_/__C_,1 - P(< 3 Kings),a,Probability - c4,C2,1.5,-0.5,0.25
maths,probability_085,What is the relationship for three events A,B,C regarding P(A_B_C)?,Sum of individual - sum of pairs + triple intersection,Sum of individual probabilities,a,Probability - a,C2,1.5,-0.5,0.25
