subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,binomialtheorem_059,Using binomial theorem,(96)^3 equals:,884736,886736,882736,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_060,The coefficient of x^5 in (1 - 2x)^7 is:,7C5 _ (-2)^5,-672,Both A and B,7C5 _ 32,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_061,In the expansion of (2 - x/2)^5,the 4th term is:,5C3 _ 4 _ (-x/2)^3,-5x^3/4,Both A and B,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_062,The sum of coefficients in the expansion of (3x + 2y)^7 is:,5^7,6^7,7^7,2^7,a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_063,If the 3rd term in the expansion of (1 + x)^n is 36x^2,then n equals:,8,9,10,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_064,The product of coefficients of x and x^(n-1) in (1 + x)^n is:,n^2,n,2n,n(n-1),a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_065,In the expansion of (x + a)^10,if the coefficient of x^7 equals the coefficient of x^3,then a equals:,1,-1,a,Binomial Theorem - C,C2,1.5,-0.5,0.25
maths,binomialtheorem_066,The value of 0.5C0 + 5C1 + 5C2 + ... + 5C5 in (1 + 1)^5 is:,32,31,16,64,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_067,The greatest coefficient in the expansion of (1 + x)^10 is:,10C5,252,Both A and B,10C4,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_068,For which value of r is nCr maximum when n = 11?,5,6,5 and 6,11,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_069,The coefficient of x^4y^4 in the expansion of (x + y)^8 is:,70,56,28,35,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_070,Using binomial theorem,(102)^5 equals:,11040808032,10408080320,11040880832,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_071,In the expansion of (1 + x)^n,the ratio of 7th term to 4th term is:,nC6/nC3 _ x^3,x^3,Depends on n,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_072,The term independent of x in (2x - 1/(2x))^10 is:,10C5,252,Both A and B,-252,c,Binomial Theorem - binomial_theorem,C4,1.5,1.0,0.25
maths,binomialtheorem_073,If (1 + x)^n = C0 + C1x + C2x^2 + ... + Cnx^n,then C0 - C1 + C2 - C3 + ... equals:,0,1,2^n,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_074,The coefficient of x^r in the expansion of (1 - 2x)^n is:,nCr _ (-2)^r,(-1)^r _ nCr _ 2^r,Both A and B,nCr _ 2^r,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_075,In the expansion of (x + 1)^6 + (x - 1)^6,how many terms survive after cancellation?,7,4,3,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_076,The coefficient of a^4b^3 in the expansion of (a + b)^7 is:,35,21,7,28,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_077,Using binomial theorem,7^n - 6n - 1 is divisible by:,36,49,42,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_078,The middle term in the expansion of (3x - x^3/6)^7 is:,4th term,5th term,3rd and 4th terms,No middle term,a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_079,The value of (3 + Ã2)^4 - (3 - Ã2)^4 contains:,Only rational terms,Only irrational terms with Ã2,Both rational and irrational,Pure integer,b,Binomial Theorem - binomial_theorem,C4,1.5,1.0,0.25
maths,binomialtheorem_080,In the expansion of (1 + x/2 - 2/x)^4,the term independent of x has coefficient:,Positive,Negative,Zero,a,Binomial Theorem - c4,C2,1.5,-0.5,0.25
