subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c,selected_option_text
Vocabulary,19,What is the meaning of IMPERTURBABLE,Calm and not easily upset,Anxious,Angry,Nervous,A,Vocabulary,Advanced,1.9,1.5,0.25,Vocabulary
Vocabulary,20,What is the meaning of AMBIGUOUS,Clear,Doubtful/Unclear,Brave,Quick,B,Vocabulary,Advanced,2,0.65,0.25,Vocabulary
Vocabulary,21,What is the meaning of CLEAN,Dirty,Neat/Not dirty,Wrong,Heavy,B,Vocabulary,Easy,0.7,-0.75,0.25,Vocabulary
Vocabulary,22,What is the meaning of EXEMPLARY,Outstanding/Model,Careless,Weak,Lazy,A,Vocabulary,Advanced,2.2,1,0.25,Vocabulary
Vocabulary,23,What is the meaning of DETERMINED,Weak-willed,Strongly decided,Lazy,Careless,B,Vocabulary,Advanced,1.8,0.97,0.25,Vocabulary
Vocabulary,24,What is the meaning of COLD,Very warm,Very noisy,Low temperature,Friendly,C,Vocabulary,Easy,0.95,-1.25,0.25,Vocabulary
Vocabulary,25,What is the meaning of PERFUNCTORY,Done without effort,Careful,Precise,Exact,A,Vocabulary,Advanced,1.5,1.15,0.25,Vocabulary
Vocabulary,26,What is the meaning of WISE,Foolish,Intelligent/Prudent,Weak,Slow,B,Vocabulary,Intermediate,0.9,-0.3,0.25,Vocabulary
Vocabulary,27,What is the meaning of SAD,Unhappy,Joyful,Excited,Angry,A,Vocabulary,Intermediate,1.1,-1.2,0.25,Vocabulary
Vocabulary,28,What is the meaning of FIERCE,Gentle,Violent/Intense,Shy,Calm,B,Vocabulary,Intermediate,0.3,-0.05,0.25,Vocabulary
Vocabulary,29,What is the meaning of VIGILANT,Watchful/Alert,Careless,Sleepy,Lazy,A,Vocabulary,Advanced,1.2,0.7,0.25,Vocabulary
Vocabulary,30,What is the meaning of JUDICIOUS,Wise/Well-judged,Foolish,Careless,Wrong,A,Vocabulary,Advanced,1.9,0.88,0.25,Vocabulary
Vocabulary,31,What is the meaning of GRATEFUL,Thankful,Forgetful,Careless,Confused,A,Vocabulary,Intermediate,0.85,-0.1,0.25,Vocabulary
Vocabulary,32,What is the meaning of RIGHT,Wrong,Correct/Direction,Heavy,Inside,B,Vocabulary,Easy,0.8,-0.9,0.25,Vocabulary
Vocabulary,33,What is the meaning of CRUEL,Kind,Harsh/Unkind,Brave,Weak,B,Vocabulary,Intermediate,0.65,0.15,0.25,Vocabulary
Vocabulary,34,What is the meaning of VERACITY,Truthfulness,Lies,Cruelty,Anger,A,Vocabulary,Advanced,1.4,1.8,0.25,Vocabulary
Vocabulary,35,What is the meaning of GOOD,Bad,Nice/Positive,Wrong,Dirty,B,Vocabulary,Easy,0.85,-1.15,0.25,Vocabulary
Vocabulary,36,What is the meaning of ESOTERIC,Understood by few,Common,Popular,Easy,A,Vocabulary,Advanced,2.2,1.35,0.25,Vocabulary
Vocabulary,37,What is the meaning of RESILIENT,Weak,Able to recover quickly,Careless,Lazy,B,Vocabulary,Advanced,1.3,0.6,0.25,Vocabulary
Vocabulary,38,What is the meaning of INEFFABLE,Too great to describe,Easily explained,Foolish,Weak,A,Vocabulary,Advanced,1.7,1.95,0.25,Vocabulary
Vocabulary,39,What is the meaning of PERSPICACIOUS,Highly perceptive,Foolish,Weak,Careless,A,Vocabulary,Advanced,2.3,1.9,0.25,Vocabulary
Vocabulary,40,What is the meaning of DILIGENT,Hard-working,Careless,Weak,Lazy,A,Vocabulary,Intermediate,0.95,0.4,0.25,Vocabulary
Vocabulary,41,What is the meaning of SYMPATHETIC,Understanding others' feelings,Cruel,Angry,Proud,A,Vocabulary,Intermediate,1,0.5,0.25,Vocabulary
Vocabulary,42,What is the meaning of PROPENSITY,Natural tendency,Rare quality,Weakness,Mistake,A,Vocabulary,Advanced,1.3,1.6,0.25,Vocabulary
Vocabulary,43,What is the meaning of ANXIOUS,Relaxed,Worried/Uneasy,Happy,Angry,B,Vocabulary,Intermediate,0.4,-0.15,0.25,Vocabulary
Vocabulary,44,What is the meaning of MAGNANIMOUS,Generous and forgiving,Cruel,Angry,Weak,A,Vocabulary,Advanced,2,1.1,0.25,Vocabulary
Vocabulary,45,What is the meaning of CURIOUS,Interested to know,Lazy,Angry,Careless,A,Vocabulary,Intermediate,0.8,0.3,0.25,Vocabulary
Vocabulary,46,What is the meaning of OBSTREPEROUS,Noisy and difficult to control,Quiet,Calm,Weak,A,Vocabulary,Advanced,1.9,1.85,0.25,Vocabulary
Vocabulary,47,What is the meaning of PERSISTENT,Keeps going,Gives up quickly,Careless,Weak,A,Vocabulary,Advanced,1.2,0.86,0.25,Vocabulary
Vocabulary,48,What is the meaning of COGENT,Convincing/Logical,Weak,Wrong,Foolish,A,Vocabulary,Advanced,1.7,1.4,0.25,Vocabulary
Vocabulary,49,What is the meaning of STUBBORN,Flexible,Hard to change opinion,Kind,Weak,B,Vocabulary,Intermediate,0.6,0.25,0.25,Vocabulary
Vocabulary,50,What is the meaning of FASTIDIOUS,Very attentive to detail,Careless,Foolish,Weak,A,Vocabulary,Advanced,1.8,1.2,0.25,Vocabulary
Vocabulary,51,What is the meaning of ENEMY,Friend,Opponent,Companion,Teacher,B,Vocabulary,Intermediate,0.95,-0.6,0.25,Vocabulary
Vocabulary,52,What is the meaning of DARK,Bright,Not light/Blackish,Loud,Quick,B,Vocabulary,Intermediate,0.9,-0.8,0.25,Vocabulary
Vocabulary,53,What is the meaning of FRIEND,Enemy,Companion,Stranger,Worker,B,Vocabulary,Intermediate,1.2,-0.65,0.25,Vocabulary
Vocabulary,54,What is the meaning of OBEDIENT,Following rules,Disobedient,Rude,Clever,A,Vocabulary,Intermediate,0.5,0.1,0.25,Vocabulary
Vocabulary,55,What is the meaning of UP,Above,Down,Behind,Inside,A,Vocabulary,Easy,0.7,-1.05,0.25,Vocabulary
Vocabulary,56,What is the meaning of PULCHRITUDE,Physical beauty,Weakness,Cruelty,Mistake,A,Vocabulary,Advanced,2.1,1.65,0.25,Vocabulary
Vocabulary,57,What is the meaning of CALM,Peaceful,Angry,Excited,Nervous,A,Vocabulary,Intermediate,0.65,-0.25,0.25,Vocabulary
Vocabulary,58,What is the meaning of SAGACIOUS,Wise/Insightful,Foolish,Quick,Lazy,A,Vocabulary,Advanced,2.1,1.25,0.25,Vocabulary
Vocabulary,59,What is the meaning of METICULOUS,Careless,Very careful and precise,Fast,Weak,B,Vocabulary,Advanced,1.1,0.5,0.25,Vocabulary
Vocabulary,60,What is the meaning of LACONIC,Using few words,Talkative,Loud,Funny,A,Vocabulary,Advanced,2.5,1.45,0.25,Vocabulary
Vocabulary,61,What is the meaning of LIGHT,Heavy,Bright/Not heavy,Dark,Strong,B,Vocabulary,Intermediate,1.3,-0.85,0.25,Vocabulary
Vocabulary,62,What is the meaning of ASSIDUOUS,"Hard-working, diligent",Lazy,Foolish,Weak,A,Vocabulary,Advanced,1.6,1.55,0.25,Vocabulary
Vocabulary,63,What is the meaning of BENEVOLENT,Kind and generous,Cruel,Angry,Proud,A,Vocabulary,Advanced,1.1,0.75,0.25,Vocabulary
Vocabulary,64,What is the meaning of LOYAL,Faithful,Betraying,Lazy,Weak,A,Vocabulary,Intermediate,0.9,0.2,0.25,Vocabulary
Vocabulary,65,What is the meaning of PRAGMATIC,Practical,Dreamy/Impractical,Angry,Careless,A,Vocabulary,Advanced,1.5,0.55,0.25,Vocabulary
Vocabulary,66,What is the meaning of RELIABLE,Trustworthy,Weak,Careless,Lazy,A,Vocabulary,Intermediate,0.7,0.05,0.25,Vocabulary
Vocabulary,67,What is the meaning of SCRUPULOUS,Honest and thorough,Careless,Wrong,Dirty,A,Vocabulary,Advanced,1.4,0.82,0.25,Vocabulary
Vocabulary,68,What is the meaning of PERSEVERANT,Gives up easily,Keeps trying despite difficulty,Lazy,Angry,B,Vocabulary,Advanced,2.1,0.8,0.25,Vocabulary
Vocabulary,69,What is the meaning of RETICENT,Reserved/Quiet,Talkative,Angry,Proud,A,Vocabulary,Advanced,1.5,1.7,0.25,Vocabulary
Vocabulary,70,What is the meaning of DIRTY,Not clean,Fresh,Strong,Tall,A,Vocabulary,Easy,0.6,-0.7,0.25,Vocabulary
Vocabulary,71,What is the meaning of GENERIC,Common/Not special,Unique,Strong,Funny,A,Vocabulary,Upper-Basic,0.45,0.35,0.25,Vocabulary
Vocabulary,72,What is the meaning of UBIQUITOUS,Found everywhere,Rare,Weak,Dirty,A,Vocabulary,Advanced,1.4,1.3,0.25,Vocabulary
Vocabulary,73,What is the meaning of INTRANSIGENT,Uncompromising,Flexible,Careless,Lazy,A,Vocabulary,Advanced,1.8,1.75,0.25,Vocabulary
Vocabulary,74,What is the meaning of HONEST,Telling lies,Truthful,Angry,Careless,B,Vocabulary,Intermediate,0.7,-0.4,0.25,Vocabulary
Vocabulary,75,What is the meaning of CONSPICUOUS,Easily noticeable,Hidden,Careless,Weak,A,Vocabulary,Advanced,2,0.94,0.25,Vocabulary
Vocabulary,76,What is the meaning of LEFT,Direction opposite right,Very correct,Heavy,Loud,A,Vocabulary,Easy,0.65,-0.95,0.25,Vocabulary
Vocabulary,77,What is the meaning of CANDID,Honest/Frank,Secretive,Angry,Lazy,A,Vocabulary,Advanced,1.7,0.84,0.25,Vocabulary
Vocabulary,78,What is the meaning of BRAVE,Cowardly,Courageous,Weak,Shy,B,Vocabulary,Intermediate,0.8,-0.5,0.25,Vocabulary
Vocabulary,79,What is the meaning of STRONG,Weak,Powerful,Tall,Slow,B,Vocabulary,Intermediate,1.1,-0.5,0.25,Vocabulary
Vocabulary,80,What is the meaning of FAST,Quick,Slow,Heavy,Bright,A,Vocabulary,Easy,0.9,-1.4,0.25,Vocabulary
