question,option_a,option_b,option_c,option_d,answer,tier,topic
What is the x-intercept of the line y = 2x - 6?,2,3,4,6,B,C3,coordinate_geometry
Solve: x_ - 10x + 21 = 0,x=2 or x=8,x=3 or x=7,x=4 or x=6,x=1 or x=21,B,C4,algebra
What is the second derivative of f(x) = x_?,4x_,12x_,24x,4x,B,C4,calculus
What is sin(60¡)?,0.5,Ã2/2,Ã3/2,1,C,C4,trigonometry
What are the dimensions of the product of a 2_3 matrix and a 3_2 matrix?,2_2,2_3,3_2,3_3,A,C4,linear_algebra
What is ln(1)?,0,1,e,-1,A,C4,logarithms
What is 27 + 35?,60,61,62,63,C,C1,arithmetic
What is 105 - 68?,35,36,37,38,C,C1,arithmetic
What is 9 _ 9?,72,77,81,85,C,C1,multiplication
What is 96 Ö 12?,7,8,9,10,B,C1,division
What is three-quarters of 32?,20,22,24,28,C,C1,fractions
What is 85 + 15?,98,100,102,104,B,C1,arithmetic
What is 400 - 178?,220,221,222,223,C,C1,arithmetic
What is 16 _ 5?,75,78,80,85,C,C2,multiplication
What is 182 Ö 14?,12,13,14,15,B,C2,division
What is 60% of 80?,42,45,48,52,C,C2,percentages
What is the square of 16?,236,246,256,266,C,C2,algebra
Solve: 9x - 18 = 45,5,6,7,8,C,C2,algebra
What is the area of a parallelogram with base 8 and height 6?,42,46,48,52,C,C2,geometry
What is 3/8 + 3/8?,03-Apr,06-Aug,01-Feb,05-Aug,A,C2,fractions
What is 3.5 Ö 0.7?,4,5,6,7,B,C2,decimals
Solve: 4x_ = 144,x=6,x=±6,x=36,x=±36,B,C3,algebra
What is the surface area of a cube with side length 5?,125,130,140,150,D,C3,geometry
"If 4 pens cost $12, how much do 9 pens cost?",24,25,27,30,C,C3,proportions
Simplify: (x_)_,x_,x__,x__,3x_,B,C3,algebra
"Find the distance from point (3,4) to the origin",3,4,5,7,C,C3,coordinate_geometry
Solve: x_ + 4x - 21 = 0,x=-7 or x=3,x=-3 or x=7,x=3 or x=7,x=-7 or x=-3,A,C4,algebra
What is the integral of 3x_ dx?,x_,x_ + C,3x_ + C,x_/3 + C,B,C4,calculus
What is tan(60¡)?,1,Ã2,Ã3,2,C,C4,trigonometry
What is the determinant of a 3_3 identity matrix?,0,1,3,9,B,C4,linear_algebra
Solve: log_(x) = 6,32,48,64,128,C,C4,logarithms
What is 43 + 37?,78,79,80,81,C,C1,arithmetic
What is 130 - 76?,52,53,54,55,C,C1,arithmetic
What is 11 _ 8?,82,84,86,88,D,C1,multiplication
What is 108 Ö 12?,8,9,10,11,B,C1,division
What is four-fifths of 40?,28,30,32,36,C,C1,fractions
What is 92 + 8?,98,100,102,104,B,C1,arithmetic
What is 500 - 237?,261,262,263,264,C,C1,arithmetic
What is 17 _ 4?,64,66,68,72,C,C2,multiplication
What is 221 Ö 17?,12,13,14,15,B,C2,division
What is 75% of 200?,140,145,150,155,C,C2,percentages
What is the cube of 5?,100,115,125,135,C,C2,algebra
Solve: 10x + 20 = 70,4,5,6,7,B,C2,algebra
What is the area of a circle with diameter 8? (Use ¹ Å 3.14),48.24,50.24,52.24,54.24,B,C2,geometry
What is 9/11 - 2/11?,05-Nov,07-Nov,09-Nov,11-Nov,B,C2,fractions
What is 0.9 _ 0.8?,0.72,7.2,0.17,1.7,A,C2,decimals
Solve: 8x - 24 = 40,6,7,8,9,C,C3,algebra
What is the volume of a sphere with radius 3? (Use ¹ Å 3.14),103.62,113.04,123.04,133.04,B,C3,geometry
A bicycle is sold for $240 after a 20% markup. What was the cost price?,180,190,200,210,C,C3,percentages
What is the value of x in: 2^x = 16?,2,3,4,5,C,C3,algebra
What is the gradient of the line 5x - 2y = 10?,2.5,05-Feb,-2.5,-2.5,A,C3,coordinate_geometry
Solve: x_ + 2x - 15 = 0,x=-5 or x=3,x=-3 or x=5,x=3 or x=5,x=-5 or x=-3,A,C4,algebra
What is d/dx(e^x)?,e,e^x,xe^(x-1),1,B,C4,calculus
What is cos(90¡)?,0,0.5,Ã3/2,1,A,C4,trigonometry
What is the trace of a 2_2 zero matrix?,0,1,2,4,A,C4,linear_algebra
What is log__(100)?,1,2,3,10,B,C4,logarithms
What is 48 + 52?,98,99,100,101,C,C1,arithmetic
What is 145 - 89?,54,55,56,57,C,C1,arithmetic
What is 12 _ 9?,98,102,108,112,C,C1,multiplication
What is 117 Ö 13?,8,9,10,11,B,C1,division
What is five-sixths of 48?,36,38,40,42,C,C1,fractions
What is 78 + 22?,98,100,102,104,B,C1,arithmetic
What is 600 - 287?,311,312,313,314,C,C1,arithmetic
What is 18 _ 6?,102,106,108,112,C,C2,multiplication
What is 238 Ö 14?,15,16,17,18,C,C2,division
What is 85% of 120?,96,98,102,106,C,C2,percentages
What is the square of 17?,272,281,289,297,C,C2,algebra
Solve: 11x - 22 = 33,4,5,6,7,B,C2,algebra
What is the perimeter of a regular hexagon with side length 7?,35,40,42,49,C,C2,geometry
What is 11/15 - 4/15?,May-15,Jul-15,Sep-15,Nov-15,B,C2,fractions
What is 4.2 _ 0.5?,2.1,21,0.21,42,A,C2,decimals
Solve: 5x_ = 125,x=5,x=±5,x=25,x=±25,B,C3,algebra
What is the lateral surface area of a cylinder with radius 4 and height 6? (Use ¹ Å 3.14),150.72,155.72,160.72,165.72,A,C3,geometry
"If 6 workers complete a job in 8 days, how many days for 4 workers?",10,11,12,14,C,C3,proportions
Simplify: x_ Ö x_,x_,x_,x__,x_á_,A,C3,algebra
"What is the reflection of point (4,-3) across the x-axis?","(4,3)","(-4,-3)","(-4,3)","(4,-3)",A,C3,coordinate_geometry
Solve: x_ - 12x + 35 = 0,x=5 or x=7,x=4 or x=8,x=3 or x=9,x=2 or x=10,A,C4,algebra
What is the integral of (6x_ + 4x) dx?,2x_ + 2x_,2x_ + 2x_ + C,6x_ + 4x_ + C,3x_ + 2x_ + C,B,C4,calculus
What is sin(45¡)?,0.5,Ã2/2,Ã3/2,1,B,C4,trigonometry
"What is the determinant of matrix [[4,2],[6,3]]?",0,2,6,12,A,C4,linear_algebra
What is log_(64)?,2,3,4,6,B,C4,logarithms
What is 56 + 44?,98,99,100,101,C,C1,arithmetic
What is 160 - 94?,64,65,66,67,C,C1,arithmetic
What is 13 _ 7?,84,88,91,95,C,C1,multiplication
What is 126 Ö 14?,8,9,10,11,B,C1,division
What is seven-eighths of 56?,42,45,48,49,D,C1,fractions
What is 89 + 11?,98,100,102,104,B,C1,arithmetic
What is 700 - 346?,352,353,354,355,C,C1,arithmetic
What is 19 _ 5?,90,93,95,100,C,C2,multiplication
What is 247 Ö 19?,12,13,14,15,B,C2,division
What is 90% of 150?,125,130,135,140,C,C2,percentages
What is the square of 18?,314,320,324,330,C,C2,algebra
Solve: 12x + 24 = 60,2,3,4,5,B,C2,algebra
What is the area of an equilateral triangle with side 6? (Use Ã3 Å 1.73),14.56,15.56,15.86,16.56,B,C2,geometry
What is 13/20 - 5/20?,02-May,Aug-20,03-Oct,Jul-20,A,C2,fractions
What is 5.6 Ö 0.8?,6,7,8,9,B,C2,decimals
Solve: 6x_ = 216,x=6,x=±6,x=36,x=±36,B,C3,algebra
What is the diagonal of a rectangle with dimensions 6 and 8?,10,12,14,16,A,C3,geometry
"A store increases prices by 30%. If a new price is $65, what was the old price?",45,48,50,55,C,C3,percentages
What is the value of x in: 3^x = 81?,2,3,4,5,C,C3,algebra
What is the equation of a line perpendicular to y = 2x + 3?,y = -2x + 1,y = -1/2x + 1,y = 2x - 3,y = 1/2x + 1,B,C3,coordinate_geometry
Solve: 2x_ + 7x + 3 = 0,x=-3 or x=-1/2,x=-1 or x=-3/2,x=3 or x=1/2,x=1 or x=3/2,A,C4,algebra
What is d/dx(ln x)?,x,1,1/x,ln x,C,C4,calculus
What is tan(30¡)?,01-Feb,1/Ã3,Ã3/3,Ã3,C,C4,trigonometry
"What are the eigenvalues of matrix [[2,0],[0,5]]?",0 and 2,2 and 5,0 and 5,1 and 7,B,C4,linear_algebra
Solve: log_(x) = 2,14,35,49,343,C,C4,logarithms
What is 64 + 36?,98,99,100,101,C,C1,arithmetic
What is 175 - 98?,75,76,77,78,C,C1,arithmetic
What is 14 _ 8?,102,106,108,112,D,C1,multiplication
What is 135 Ö 15?,8,9,10,11,B,C1,division
What is two-sevenths of 49?,12,13,14,16,C,C1,fractions
What is 93 + 7?,98,100,102,104,B,C1,arithmetic
What is 800 - 423?,375,376,377,378,C,C1,arithmetic
What is 21 _ 4?,78,82,84,88,C,C2,multiplication
What is 273 Ö 21?,12,13,14,15,B,C2,division
What is 95% of 180?,165,169,171,175,C,C2,percentages
What is the square of 19?,351,361,371,381,B,C2,algebra
Solve: 13x - 39 = 52,6,7,8,9,B,C2,algebra
What is the volume of a cone with radius 3 and height 7? (Use ¹ Å 3.14),65.94,69.94,72.94,75.94,A,C3,geometry
What is 17/24 - 5/24?,01-Feb,Jul-24,05-Dec,13/24,A,C2,fractions
What is 6.3 _ 0.4?,2.42,2.52,2.62,2.72,B,C2,decimals
Solve: 7x_ = 343,x=7,x=±7,x=49,x=±49,B,C3,algebra
What is the area of a rhombus with diagonals 8 and 10?,36,38,40,42,C,C3,geometry
"If the ratio of boys to girls is 3:5 and there are 24 boys, how many girls?",30,35,40,45,C,C3,proportions
Simplify: (2x_y_)_,4x_y_,4x_y_,2x_y_,8x_y_,A,C3,algebra
Find the coordinates of the center of a circle with equation (x-3)_ + (y+2)_ = 25,"(3,-2)","(-3,2)","(3,2)","(-3,-2)",A,C3,coordinate_geometry
Solve: x_ + 10x + 16 = 0,x=-2 or x=-8,x=-4 or x=-4,x=2 or x=8,x=-2 or x=-4,A,C4,algebra
What is the derivative of f(x) = x_sin(x)?,2xsin(x) + x_cos(x),x_cos(x),2xcos(x),sin(x) + xcos(x),A,C4,calculus
What is cos(45¡)?,0.5,1/Ã2,Ã3/2,1,B,C4,trigonometry
What is the nullity of a 3_4 matrix with rank 2?,1,2,3,4,B,C4,linear_algebra
What is ln(e_)?,1,2,3,e_,C,C4,logarithms
What is 71 + 29?,98,99,100,101,C,C1,arithmetic
What is 190 - 107?,81,82,83,84,C,C1,arithmetic
What is 15 _ 7?,95,100,105,110,C,C1,multiplication
What is 144 Ö 16?,8,9,10,11,B,C1,division
What is three-eighths of 64?,20,22,24,26,C,C1,fractions
What is 94 + 6?,98,100,102,104,B,C1,arithmetic
What is 900 - 512?,386,387,388,389,C,C1,arithmetic
What is 22 _ 5?,100,105,110,115,C,C2,multiplication
What is 299 Ö 23?,12,13,14,15,B,C2,division
What is 65% of 240?,146,152,156,160,C,C2,percentages
What is the cube of 6?,196,206,216,226,C,C2,algebra
Solve: 14x + 28 = 70,2,3,4,5,B,C2,algebra
What is the surface area of a sphere with radius 4? (Use ¹ Å 3.14),188.4,196.8,200.96,205.6,C,C2,geometry
What is 19/30 - 7/30?,02-May,Dec-30,01-Mar,Nov-30,A,C2,fractions
What is 7.2 Ö 0.9?,7,8,9,10,B,C2,decimals
Solve: 8x_ = 392,x=7,x=±7,x=49,x=±49,B,C3,algebra
What is the hypotenuse of a right triangle with legs 5 and 12?,11,12,13,14,C,C3,geometry
"A recipe calls for a 2:3 ratio of flour to sugar. If using 6 cups of flour, how much sugar?",8,9,10,12,B,C3,proportions
Simplify: (x_y_)_,x_y__,x_y_,x_y_,x_y__,A,C3,algebra
What is the area of a sector with radius 6 and central angle 60¡? (Use ¹ Å 3.14),17.28,18.84,19.84,20.84,B,C3,coordinate_geometry
Solve: x_ - 14x + 45 = 0,x=5 or x=9,x=3 or x=15,x=6 or x=8,x=7 or x=7,A,C4,algebra
What is the integral of (1/x) dx?,x,1/x_,ln|x| + C,1/x + C,C,C4,calculus
What is sin(0¡)?,0,0.5,Ã3/2,1,A,C4,trigonometry
"What is the determinant of matrix [[3,6],[1,2]]?",0,3,6,9,A,C4,linear_algebra
What is log_(512)?,2,3,4,6,B,C4,logarithms
