"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"How many 4-digit numbers can be formed using digits 1 to 9 if repetition is not allowed?,3024,5040,6561,4536,a,c2,permutations_and_combinations"
"How many numbers between 100 and 1000 can be formed with digits 0,1,2,3,4,5 if repetition is not allowed?,100,120,150,200,a,c3,permutations_and_combinations"
"Find n if _P_ = 42__P_, where n>4,7,9,10,8,c,c3,permutations_and_combinations"
"Find n if (_P_)/(___P_) = 5/3, where n>4,10,8,9,11,a,c3,permutations_and_combinations"
"If 5__P_ = 6__P___, find r,3,8,Both 3 and 8,Neither 3 nor 8,c,c3,permutations_and_combinations"
"How many different 8-letter arrangements from DAUGHTER have all vowels together?,4320,2880,8640,5040,a,c3,permutations_and_combinations"
"How many arrangements of DAUGHTER do NOT have all vowels together?,36000,40320,32400,28800,a,c3,permutations_and_combinations"
"In how many ways can 4 red (identical), 3 yellow (identical) and 2 green (identical) discs be arranged in a row?,1260,5040,362880,181440,a,c3,permutations_and_combinations"
"How many arrangements of INDEPENDENCE are possible?,1663200,19958400,39916800,9979200,a,c3,permutations_and_combinations"
"How many arrangements of INDEPENDENCE start with P?,138600,277200,1663200,69300,a,c3,permutations_and_combinations"
"How many arrangements of INDEPENDENCE have all vowels together?,16800,33600,50400,8400,a,c3,permutations_and_combinations"
"How many arrangements of INDEPENDENCE have vowels NEVER together?,1646400,1629600,1680000,1596000,a,c4,permutations_and_combinations"
"How many arrangements of INDEPENDENCE begin with I and end with P?,12600,25200,6300,50400,a,c3,permutations_and_combinations"
"How many words of 3 vowels and 2 consonants can be formed from the letters of INVOLUTE?,2880,1440,5760,720,a,c3,permutations_and_combinations"
"A group has 4 girls and 7 boys. In how many ways can a team of 5 with no girls be selected?,21,35,42,56,a,c2,permutations_and_combinations"
"A group has 4 girls and 7 boys. How many 5-member teams have at least one boy and one girl?,441,462,420,400,a,c3,permutations_and_combinations"
"A group has 4 girls and 7 boys. How many 5-member teams have at least 3 girls?,91,84,98,105,a,c3,permutations_and_combinations"
"How many numbers greater than 1000000 can be formed using digits 1,2,0,2,4,2,4?,360,420,480,300,a,c4,permutations_and_combinations"
"If words from AGAIN are listed as in a dictionary, what is the 50th word?,NAAIG,NAAGI,NAIAG,NAGAA,a,c4,permutations_and_combinations"
"In how many ways can 5 girls and 3 boys be seated in a row so that no two boys are together?,14400,28800,7200,21600,a,c3,permutations_and_combinations"
"How many words of 2 vowels and 3 consonants can be formed from the word DAUGHTER?,36000,43200,21600,72000,b,c3,permutations_and_combinations"
"How many words can be formed using all letters of EQUATION so that vowels and consonants occur together?,2880,5760,1440,10080,a,c3,permutations_and_combinations"
"A committee of 7 from 9 boys and 4 girls must have exactly 3 girls. In how many ways?,504,630,420,756,a,c2,permutations_and_combinations"
"A committee of 7 from 9 boys and 4 girls must have at least 3 girls. In how many ways?,1716,1386,2002,1584,b,c3,permutations_and_combinations"
"A committee of 7 from 9 boys and 4 girls must have at most 3 girls. In how many ways?,1764,1848,1932,2016,b,c3,permutations_and_combinations"
"If permutations of EXAMINATION are listed as in dictionary, how many words are there before the first word starting with E?,907200,1814400,453600,3628800,a,c4,permutations_and_combinations"
"How many 6-digit numbers divisible by 10 can be formed from 0,1,3,5,7,9 with no repetition?,120,216,144,96,a,c3,permutations_and_combinations"
"How many words with 2 different vowels and 2 different consonants can be formed from the English alphabet?,457380,914760,228690,1829520,b,c3,permutations_and_combinations"
"An exam has 12 questions: 5 in Part I, 7 in Part II. A student must attempt 8 selecting at least 3 from each part. In how many ways?,266,420,350,525,d,c3,permutations_and_combinations"
"Determine the number of 5-card combinations from 52 cards if each has exactly one king.,778320,886640,658008,1098240,c,c3,permutations_and_combinations"
"In how many ways can 5 men and 4 women be seated in a row so women occupy even places?,2880,5760,1440,720,a,c3,permutations_and_combinations"
"From 25 students, 10 are chosen for excursion. 3 students decide all or none will join. In how many ways can the party be chosen?,2042975,2220075,1961256,1847560,b,c4,permutations_and_combinations"
"In how many ways can letters of ASSASSINATION be arranged so all S's are together?,151200,302400,75600,604800,a,c4,permutations_and_combinations"
"What is the relationship between permutation and combination for n objects taken r at a time?,_P_ = _C_ _ r!,_P_ = _C_ / r!,_C_ = _P_ _ r!,No relationship,a,c2,permutations_and_combinations"
"In how many ways can 4 cards from a deck have all 4 of the same suit?,2860,1144,5720,11440,a,c3,permutations_and_combinations"
"In how many ways can 4 cards from a deck belong to four different suits?,28561,371293,28561,134,b,c3,permutations_and_combinations"
"How many 4-card selections from a deck are face cards?,495,220,792,924,a,c2,permutations_and_combinations"
"How many 4-card selections have 2 red and 2 black cards?,105625,211250,52812,158437,a,c3,permutations_and_combinations"
"How many 4-card selections from a deck are of the same color?,29900,14950,59800,44850,a,c3,permutations_and_combinations"
