"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"Find the derivative of (x - 1)(x - 2) from first principle,""2x - 3"",""x - 3"",""2x - 1"",""x - 1"",""a"",c2,limits_and_derivatives"
"Find the derivative of 1/x_ from first principle,""-2/x_"",""2/x_"",""-1/x_"",""1/x_"",""a"",c2,limits_and_derivatives"
"Find the derivative of (x+1)/(x-1) from first principle,""-2/(x-1)_"",""2/(x-1)_"",""1/(x-1)_"",""-1/(x-1)_"",""a"",c3,limits_and_derivatives"
"For f(x) = (x___/100) + (x__/99) + ... + (x_/2) + x + 1, prove that f'(1) equals,""100 f'(0)"",""50 f'(0)"",""99 f'(0)"",""101 f'(0)"",""a"",c3,limits_and_derivatives"
"Find the derivative of x_ + ax___ + a_x___ + ... + a___x + a_,""nx___ + (n-1)ax___ + ... + a___"",""nx___ + ax___ + ... + a_"",""x___ + ax___ + ... + a___"",""nx_ + (n-1)ax___ + ... + na___"",""a"",c2,limits_and_derivatives"
"Find the derivative of (x - a)(x - b),""2x - (a + b)"",""2x - a - b"",""x - a - b"",""Both a and b"",""a"",c1,limits_and_derivatives"
"Find the derivative of (ax_ + b)_,""4ax(ax_ + b)"",""2ax(ax_ + b)"",""4a(ax_ + b)"",""2a(ax_ + b)"",""a"",c2,limits_and_derivatives"
"Find the derivative of (x - a)/(x - b),""(a - b)/(x - b)_"",""(b - a)/(x - b)_"",""1/(x - b)_"",""-1/(x - b)_"",""b"",c2,limits_and_derivatives"
"Find the derivative of (x_ - a_)/(x - a),""n(x___ - a___)/(x - a)"",""nx___/(x - a)"",""(x_ - a_)/(x - a)_"",""nx___"",""a"",c3,limits_and_derivatives"
"Find the derivative of 2x - 3/4,""2"",""3/4"",""2 - 3/4"",""0"",""a"",c1,limits_and_derivatives"
"Find the derivative of (5x_ + 3x - 1)(x - 1),""20x_ - 15x_ + 6x - 4"",""20x_ + 15x_ - 6x + 4"",""15x_ + 6x - 4"",""20x_ - 15x_ - 6x + 4"",""a"",c2,limits_and_derivatives"
"Find the derivative of x__(5 + 3x),""3x__ - 15x__"",""-15x__"",""3x__"",""9x__ - 15x__"",""a"",c2,limits_and_derivatives"
"Find the derivative of x_(3 - 6x__),""15x_ + 54x__"",""15x_ - 54x__"",""15x_"",""54x__"",""a"",c2,limits_and_derivatives"
"Find the derivative of x__(3 - 4x__),""20x__ - 12x__"",""-12x__ - 20x__"",""20x__"",""12x__"",""b"",c2,limits_and_derivatives"
"Find the derivative of 2/(x+1) - x_/(3x-1),""2x_ - 6x - 2 over (x+1)_(3x-1)_"",""-2/(x+1)_ - (6x_ - 2x)/(3x-1)_"",""(-6x_ - 6x - 2)/(x+1)_(3x-1)_"",""2/(x+1)_ + 2x/(3x-1)_"",""b"",c3,limits_and_derivatives"
"Find the derivative of cos x from first principle,""-sin x"",""sin x"",""cos x"",""-cos x"",""a"",c2,limits_and_derivatives"
"Find the derivative of sin x cos x,""cos_x - sin_x"",""cos_x + sin_x"",""2 sin x cos x"",""sin_x - cos_x"",""a"",c2,limits_and_derivatives"
"Find the derivative of sec x,""sec x tan x"",""sec_ x"",""sec x cot x"",""cosec x"",""a"",c2,limits_and_derivatives"
"Find the derivative of 5 sec x + 4 cos x,""5 sec x tan x - 4 sin x"",""5 sec_ x - 4 sin x"",""5 sec x tan x + 4 sin x"",""5 tan x - 4 sin x"",""a"",c2,limits_and_derivatives"
"Find the derivative of cosec x,""cosec x cot x"",""-cosec x cot x"",""cosec_ x"",""-cosec_ x"",""b"",c2,limits_and_derivatives"
"Find the derivative of 3 cot x + 5 cosec x,""-3 cosec_ x - 5 cosec x cot x"",""3 cosec_ x + 5 cosec x cot x"",""-3 cosec_ x + 5 cosec x cot x"",""3 cot_ x + 5 cosec x"",""a"",c2,limits_and_derivatives"
"Find the derivative of 5 sin x - 6 cos x + 7,""5 cos x + 6 sin x"",""5 cos x - 6 sin x"",""6 sin x - 5 cos x"",""-5 cos x - 6 sin x"",""a"",c1,limits_and_derivatives"
"Find the derivative of 2 tan x - 7 sec x,""2 sec_ x - 7 sec x tan x"",""2 sec_ x + 7 sec x tan x"",""2 tan_ x - 7 sec_ x"",""2 sec x - 7 tan x"",""a"",c2,limits_and_derivatives"
"Find the derivative of -x from first principle,""-1"",""1"",""0"",""x"",""a"",c1,limits_and_derivatives"
"Find the derivative of (-x)__ from first principle,""1/x_"",""-1/x_"",""1/x"",""-1/x"",""a"",c2,limits_and_derivatives"
"Find the derivative of sin(x + 1) from first principle,""cos(x + 1)"",""sin(x + 1)"",""-cos(x + 1)"",""-sin(x + 1)"",""a"",c2,limits_and_derivatives"
"Find the derivative of cos(x - ¹/8) from first principle,""-sin(x - ¹/8)"",""sin(x - ¹/8)"",""cos(x - ¹/8)"",""-cos(x - ¹/8)"",""a"",c2,limits_and_derivatives"
"Find the derivative of (x + a),""1"",""a"",""x"",""0"",""a"",c1,limits_and_derivatives"
"Find the derivative of (px + q)(r/x + s),""pr - pqx__ + ps"",""pr + pqx__ + ps"",""pr - prx__"",""prx__ + ps"",""c"",c2,limits_and_derivatives"
"Find the derivative of (ax + b)(cx + d)_,""(cx + d)[3acx + (2ad + bc)]"",""(cx + d)[acx + (ad + bc)]"",""(cx + d)[2acx + (ad + bc)]"",""3ac(cx + d)_"",""a"",c3,limits_and_derivatives"
"Find the derivative of (ax + b)/(cx + d),""(ad - bc)/(cx + d)_"",""(ac - bd)/(cx + d)_"",""(bc - ad)/(cx + d)_"",""1/(cx + d)_"",""a"",c2,limits_and_derivatives"
"Find the derivative of (1 + 1/x)/(1 - 1/x),""2/(x - 1)_"",""-2/(x - 1)_"",""2/x_"",""1/(x - 1)_"",""a"",c3,limits_and_derivatives"
"Find the derivative of 1/(ax_ + bx + c),""-(2ax + b)/(ax_ + bx + c)_"",""(2ax + b)/(ax_ + bx + c)_"",""-2ax/(ax_ + bx + c)_"",""2ax/(ax_ + bx + c)_"",""a"",c2,limits_and_derivatives"
"Find the derivative of (a/x_) - (b/x_) + cos x,""(-4a/x_) + (2b/x_) - sin x"",""(4a/x_) - (2b/x_) - sin x"",""(-4a/x_) + (2b/x_) + sin x"",""(-4a/x_) + (2b/x) - sin x"",""a"",c2,limits_and_derivatives"
"Find the derivative of 4Ã(x - 2),""2/Ã(x - 2)"",""4/Ã(x - 2)"",""1/Ã(x - 2)"",""2Ã(x - 2)"",""a"",c2,limits_and_derivatives"
"Find the derivative of (ax + b)_,""n(ax + b)___"",""an(ax + b)___"",""na(ax + b)_"",""(ax + b)___"",""b"",c2,limits_and_derivatives"
"Find the derivative of (ax + b)_(cx + d)_,""an(ax+b)___(cx+d)_ + cm(ax+b)_(cx+d)___"",""n(ax+b)___(cx+d)_ + m(ax+b)_(cx+d)___"",""(ax+b)___(cx+d)___[an(cx+d)+cm(ax+b)]"",""(ax+b)_(cx+d)_[an+cm]"",""c"",c3,limits_and_derivatives"
"Find the derivative of sin(x + a),""cos(x + a)"",""sin(x + a)"",""-sin(x + a)"",""-cos(x + a)"",""a"",c1,limits_and_derivatives"
"Find the derivative of cosec x cot x,""-cosec x(cosec_ x + cot_ x)"",""-cosec x cot_ x"",""cosec x(cosec_ x + cot_ x)"",""-cosec_ x - cosec x cot_ x"",""a"",c3,limits_and_derivatives"
"Find the derivative of cos x/(1 + sin x),""-1/(1 + sin x)"",""1/(1 + sin x)"",""sin x/(1 + sin x)_"",""-sin x/(1 + sin x)_"",""a"",c3,limits_and_derivatives"
"Find the derivative of (sin x + cos x)/(sin x - cos x),""2/(sin x - cos x)_"",""-2/(sin x - cos x)_"",""2 sec_ x/(sin x - cos x)_"",""-2 sec_ x/(sin x - cos x)_"",""d"",c3,limits_and_derivatives"
"Find the derivative of (sec x - 1)/(sec x + 1),""2 sec x tan x/(sec x + 1)_"",""-2 sec x tan x/(sec x + 1)_"",""sec_ x/(sec x + 1)_"",""tan_ x/(sec x + 1)_"",""a"",c3,limits_and_derivatives"
"Find the derivative of sin_ x,""n sin___ x cos x"",""n sin___ x"",""sin___ x cos x"",""n sin_ x"",""a"",c2,limits_and_derivatives"
"Find the derivative of (a + b sin x)/(c + d cos x),""(bc + ad)cos x + bd sin x over (c + d cos x)_"",""(ab + cd)/(c + d cos x)_"",""(bc + ad)/(c + d cos x)_"",""(ad + bc)sin x/(c + d cos x)_"",""a"",c4,limits_and_derivatives"
"Find the derivative of sin(x + a)/cos x,""cos(x + a)/cos x + sin(x + a)sin x/cos_x"",""cos a/cos_ x"",""[cos(x+a)cos x + sin(x+a)sin x]/cos_ x"",""cos(x + a)/cos_ x"",""c"",c4,limits_and_derivatives"
"Find the derivative of x_(5 sin x - 3 cos x),""x_(20x sin x - 12x cos x + 5 cos x + 3 sin x)"",""x_(20 sin x + 20x cos x - 12 cos x + 3x sin x)"",""x_[5(4 sin x + x cos x) - 3(4 cos x - x sin x)]"",""4x_(5 sin x - 3 cos x) + x_(5 cos x + 3 sin x)"",""c"",c3,limits_and_derivatives"
"Find the derivative of (x_ + 1)cos x,""2x cos x - (x_ + 1)sin x"",""(2x - x_)cos x - sin x"",""2x cos x + (x_ + 1)sin x"",""x(2 cos x - x sin x)"",""a"",c2,limits_and_derivatives"
"Find the derivative of (ax_ + sin x)(p + q cos x),""(2ax + cos x)(p + q cos x) - q sin x(ax_ + sin x)"",""2ax(p + q cos x) + cos x(p + q cos x)"",""(2ax + cos x)(p + q cos x) + q sin x(ax_ + sin x)"",""2axp + cos x á p"",""a"",c3,limits_and_derivatives"
"Find the derivative of (x + cos x)(x - tan x),""x + cos x + (x - tan x)(1 - sin x)"",""(x + cos x)(1 - sec_x) + (x - tan x)(1 - sin x)"",""2x + cos x - tan x - x sin x - sec_ x"",""2x - sin x - tan x - x sin x - sec_ x + cos x"",""b"",c4,limits_and_derivatives"
"Find the derivative of (x + sec x)(x - tan x),""2x + sec x - tan x + sec x tan x - sec_ x"",""2x + sec x tan x - sec_ x"",""x(sec x tan x - sec_ x) + sec x - tan x"",""(x + sec x)(1 - sec_ x) + (x - tan x)(1 + sec x tan x)"",""a"",c4,limits_and_derivatives"
"Find the derivative of x_cos(¹/4)sin x,""x_cos(¹/4)cos x + 2x cos(¹/4)sin x"",""x cos(¹/4)[x cos x + 2 sin x]"",""2x sin x cos(¹/4)"",""x_sin x + 2x cos x"",""b"",c2,limits_and_derivatives"
"Find the derivative of x/(sin^n x),""[sin x - nx cos x]/sin___ x"",""[sin_ x - nx sin___ x cos x]/sin__ x"",""1/sin_ x - nx/sin___ x"",""[sin x - nx cos x]/sin__ x"",""b"",c4,limits_and_derivatives"
