"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"2cos x cos y equals:,""cos(x+y) + cos(x-y)"",""cos(x+y) - cos(x-y)"",""sin(x+y) + sin(x-y)"",""sin(x+y) - sin(x-y)"",a,c2,trigonometric_functions"
"-2sin x sin y equals:,""cos(x+y) - cos(x-y)"",""cos(x+y) + cos(x-y)"",""sin(x+y) - sin(x-y)"",""sin(x+y) + sin(x-y)"",a,c2,trigonometric_functions"
"2sin x cos y equals:,""sin(x+y) + sin(x-y)"",""sin(x+y) - sin(x-y)"",""cos(x+y) + cos(x-y)"",""cos(x+y) - cos(x-y)"",a,c2,trigonometric_functions"
"2cos x sin y equals:,""sin(x+y) - sin(x-y)"",""sin(x+y) + sin(x-y)"",""cos(x+y) - cos(x-y)"",""cos(x+y) + cos(x-y)"",a,c2,trigonometric_functions"
"If the angle between two lines is ¹/4 and slope of one line is 1/2, the slope of other line is:,""3 or -1/3"",""-3 or 1/3"",""2 or -2"",""3 or 1/3"",a,c3,trigonometric_functions"
"The value of sin_(¹/6) + cos_(¹/3) - tan_(¹/4) equals:,""-1/2"",""1/2"",""0"",""1"",a,c2,trigonometric_functions"
"2sin_(¹/6) + cosec_(7¹/6)cos_(¹/3) equals:,""3/2"",""2"",""5/2"",""1"",a,c2,trigonometric_functions"
"cot_(¹/6) + cosec(5¹/6) + 3tan_(¹/6) equals:,""6"",""5"",""7"",""8"",a,c3,trigonometric_functions"
"2sin_(3¹/4) + 2cos_(¹/4) + 2sec_(¹/3) equals:,""10"",""8"",""12"",""6"",a,c3,trigonometric_functions"
"Prove: cos((¹/4)+x)cos((¹/4)-x) - sin((¹/4)-x)sin((¹/4)+x) equals:,""sin(x+y)"",""0"",""cos 2x"",""sin 2x"",b,c3,trigonometric_functions"
"tan((¹/4)+x)/tan((¹/4)-x) equals:,""((1+tan x)/(1-tan x))_"",""((1-tan x)/(1+tan x))_"",""(1+tan x)/(1-tan x)"",""(1-tan x)/(1+tan x)"",a,c3,trigonometric_functions"
"cos(¹+x)cos(-x)/(sin(¹-x)cos(¹/2+x)) equals:,""cot_x"",""tan_x"",""-cot_x"",""-tan_x"",a,c3,trigonometric_functions"
"cos(3¹/2+x)cos(2¹+x)(cot(3¹/2-x)+cot(2¹+x)) equals:,""1"",""0"",""-1"",""2"",a,c3,trigonometric_functions"
"sin_6x - sin_4x equals:,""sin 2x sin 10x"",""sin 4x sin 8x"",""cos 2x cos 10x"",""cos 4x cos 8x"",a,c3,trigonometric_functions"
"cos_2x - cos_6x equals:,""sin 4x sin 8x"",""cos 4x cos 8x"",""sin 2x sin 10x"",""cos 2x cos 10x"",a,c3,trigonometric_functions"
"sin 2x + 2sin 4x + sin 6x equals:,""4cos_x sin 4x"",""4sin_x cos 4x"",""4cos x sin_4x"",""4sin x cos_4x"",a,c3,trigonometric_functions"
"cot 4x(sin 5x + sin 3x) equals:,""cot x(sin 5x - sin 3x)"",""tan x(sin 5x - sin 3x)"",""cot x(sin 5x + sin 3x)"",""tan x(sin 5x + sin 3x)"",a,c3,trigonometric_functions"
"(cos 9x - cos 5x)/(sin 17x - sin 3x) equals:,""-sin 2x/cos 10x"",""sin 2x/cos 10x"",""-cos 2x/sin 10x"",""cos 2x/sin 10x"",a,c3,trigonometric_functions"
"(sin 5x + sin 3x)/(cos 5x + cos 3x) equals:,""tan 4x"",""cot 4x"",""tan 2x"",""cot 2x"",a,c3,trigonometric_functions"
"(sin x - sin y)/(cos x + cos y) equals:,""tan((x-y)/2)"",""cot((x-y)/2)"",""tan((x+y)/2)"",""cot((x+y)/2)"",a,c3,trigonometric_functions"
"(sin x + sin 3x)/(cos x + cos 3x) equals:,""tan 2x"",""cot 2x"",""tan 3x"",""cot 3x"",a,c3,trigonometric_functions"
"(sin x - sin 3x)/(sin_x - cos_x) equals:,""2sin x"",""sin x"",""2cos x"",""cos x"",a,c3,trigonometric_functions"
"(cos 4x + cos 3x + cos 2x)/(sin 4x + sin 3x + sin 2x) equals:,""cot 3x"",""tan 3x"",""cot 2x"",""tan 2x"",a,c3,trigonometric_functions"
"cot x cot 2x - cot 2x cot 3x - cot 3x cot x equals:,""1"",""0"",""-1"",""2"",a,c3,trigonometric_functions"
"tan 4x equals:,""(4tan x(1-tan_x))/(1-6tan_x+tan_x)"",""(2tan x)/(1-tan_x)"",""(4tan x)/(1-tan_x)"",""(tan x(1-tan_x))/(1-6tan_x+tan_x)"",a,c3,trigonometric_functions"
"cos 4x equals:,""1 - 8sin_x cos_x"",""1 + 8sin_x cos_x"",""8sin_x cos_x - 1"",""1 - 4sin_x cos_x"",a,c3,trigonometric_functions"
"cos 6x equals:,""32cos_x - 48cos_x + 18cos_x - 1"",""32cos_x + 48cos_x + 18cos_x + 1"",""16cos_x - 24cos_x + 9cos_x - 1"",""64cos_x - 48cos_x + 18cos_x - 1"",a,c4,trigonometric_functions"
"2cos(¹/13)cos(9¹/13) + cos(3¹/13) + cos(5¹/13) equals:,""0"",""1"",""2"",""-1"",a,c4,trigonometric_functions"
"(sin 3x + sin x)sin x + (cos 3x - cos x)cos x equals:,""0"",""1"",""sin 2x"",""cos 2x"",a,c3,trigonometric_functions"
"(cos x + cos y)_ + (sin x - sin y)_ equals:,""4cos_((x+y)/2)"",""4sin_((x+y)/2)"",""2cos_((x+y)/2)"",""2sin_((x+y)/2)"",a,c3,trigonometric_functions"
"(cos x - cos y)_ + (sin x - sin y)_ equals:,""4sin_((x-y)/2)"",""4cos_((x-y)/2)"",""2sin_((x-y)/2)"",""2cos_((x-y)/2)"",a,c3,trigonometric_functions"
"sin x + sin 3x + sin 5x + sin 7x equals:,""4cos x cos 2x sin 4x"",""4sin x sin 2x cos 4x"",""4cos x sin 2x sin 4x"",""4sin x cos 2x cos 4x"",a,c3,trigonometric_functions"
"sin 3x + sin 2x - sin x equals:,""4sin x cos(x/2)cos(3x/2)"",""4cos x sin(x/2)sin(3x/2)"",""4sin x sin(x/2)cos(3x/2)"",""4cos x cos(x/2)sin(3x/2)"",a,c4,trigonometric_functions"
"If sin x = 3/5, cos y = -12/13, where x and y both lie in second quadrant, then sin(x+y) equals:,""-56/65"",""56/65"",""-16/65"",""16/65"",a,c3,trigonometric_functions"
