"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"The length of major axis of ellipse x_/25 + y_/16 = 1 is:,25,16,10,8,C,c2,conic_sections"
"An equilateral hyperbola satisfies:,a = b,a = c,b = c,a = b = c,A,c2,conic_sections"
"The equation of parabola with focus (0 2) and directrix y = -2 is:,y_ = 8x,x_ = 8y,y_ = -8x,x_ = -8y,B,c3,conic_sections"
"For the ellipse x_/9 + y_/16 = 1 the major axis is along:,x-axis,y-axis,Both axes,Neither axis,B,c3,conic_sections"
"The radius of circle 2x_ + 2y_ - x = 0 is:,1/2,1/4,1,2,B,c3,conic_sections"
"For parabola x_ = -16y the directrix is:,y = 4,y = -4,x = 4,x = -4,A,c3,conic_sections"
"The eccentricity of the ellipse x_/25 + y_/9 = 1 is:,3/5,4/5,5/4,9/25,B,c3,conic_sections"
"When 0 ² _ < _ (cone angle) the conic formed is:,Circle,Ellipse,Parabola,Hyperbola,D,c2,conic_sections"
"The equation of circle passing through origin with centre (h k) is:,x_ + y_ = h_ + k_,(x-h)_ + (y-k)_ = h_ + k_,x_ + y_ = 2hx + 2ky,x_ + y_ - 2hx - 2ky = 0,D,c3,conic_sections"
"For hyperbola y_/9 - x_/27 = 1 the length of transverse axis is:,9,27,6,3Ã3,C,c3,conic_sections"
"The latus rectum of hyperbola x_/a_ - y_/b_ = 1 is:,2a_/b,2b_/a,a_/b,b_/a,B,c2,conic_sections"
"The vertices of ellipse x_/16 + y_/9 = 1 are:,(±4 0),(±3 0),(0 ±4),(0 ±3),A,c2,conic_sections"
"A circle with centre at origin passes through (4 3). Its equation is:,x_ + y_ = 25,x_ + y_ = 7,x_ + y_ = 16,x_ + y_ = 9,A,c2,conic_sections"
"For the parabola y_ = -8x the focus is at:,(-2 0),(2 0),(0 -2),(0 2),A,c3,conic_sections"
"The foci of ellipse x_/25 + y_/16 = 1 are:,(±3 0),(±4 0),(0 ±3),(±5 0),A,c3,conic_sections"
"The equation of hyperbola with vertices (±2 0) and foci (±3 0) is:,x_/4 - y_/9 = 1,x_/4 - y_/5 = 1,x_/9 - y_/4 = 1,y_/4 - x_/5 = 1,B,c3,conic_sections"
"The centre of ellipse 9x_ + 4y_ = 36 is:,(0 0),(3 2),(9 4),(2 3),A,c2,conic_sections"
"For parabola with vertex at origin opening upward the equation is:,y_ = 4ax,x_ = 4ay,y_ = -4ax,x_ = -4ay,B,c2,conic_sections"
"The distance between foci of hyperbola x_/16 - y_/9 = 1 is:,5,10,7,14,B,c3,conic_sections"
"An ellipse with foci (0 ±5) and vertices (0 ±13) has equation:,x_/169 + y_/144 = 1,x_/144 + y_/169 = 1,y_/169 - x_/144 = 1,x_/25 + y_/169 = 1,B,c3,conic_sections"
"The equation x_ + y_ - 8x + 10y - 12 = 0 represents a circle with radius:,7,Ã65,5,Ã41,D,c3,conic_sections"
"For the parabola x_ = 4y the latus rectum length is:,1,2,4,8,C,c2,conic_sections"
"The eccentricity of hyperbola x_/9 - y_/16 = 1 is:,4/3,5/3,3/5,3/4,B,c3,conic_sections"
"A parabola with focus (6 0) and directrix x = -6 has equation:,y_ = 12x,y_ = 24x,x_ = 24y,y_ = 6x,B,c3,conic_sections"
"The minor axis length of ellipse x_/49 + y_/36 = 1 is:,49,36,14,12,D,c3,conic_sections"
"For circle with centre (-2 3) and radius 4 the equation is:,(x+2)_ + (y-3)_ = 16,(x-2)_ + (y+3)_ = 16,(x+2)_ + (y-3)_ = 4,x_ + y_ = 16,A,c2,conic_sections"
"The equation y_ = 10x represents a parabola with focus at:,(5/2 0),(10 0),(0 5/2),(2.5 2.5),A,c2,conic_sections"
"Hyperbola 16x_ - 9y_ = 576 in standard form is:,x_/36 - y_/64 = 1,x_/64 - y_/36 = 1,x_/16 - y_/9 = 1,x_/9 - y_/16 = 1,A,c3,conic_sections"
"The latus rectum of ellipse x_/4 + y_/25 = 1 is:,8/5,25/2,2/5,None of these,A,c3,conic_sections"
"For hyperbola with foci (±5 0) and transverse axis length 8 the equation is:,x_/16 - y_/9 = 1,x_/25 - y_/16 = 1,x_/64 - y_/25 = 1,None of these,A,c3,conic_sections"
"A circle passing through (4 1) and (6 5) with centre on line x + y = 2 has centre at:,(0.7 1.3),(1 1),(2 0),(3 -1),A,c4,conic_sections"
"The parabola y_ = 4ax passes through (4 3). The value of a is:,9/16,16/9,3/4,4/3,A,c3,conic_sections"
"For ellipse with major axis along y-axis and passing through (3 2) and (1 6) the equation involves:,Complex calculation,Simple substitution,Both a and b,Eccentricity,A,c4,conic_sections"
"The point (2.5 3.5) lies ___ the circle x_ + y_ = 25:,Inside,Outside,On,Cannot determine,B,c3,conic_sections"
"Hyperbola with foci (0 ±12) and latus rectum 36 has equation:,3y_ - x_ = 108,y_ - 3x_ = 36,x_ - 3y_ = 108,None of these,A,c4,conic_sections"
"The circle with radius 5 and centre on x-axis passing through (2 3) has equation:,x_+y_-8x-9=0 or x_+y_+8x-9=0,(x-4)_+y_=25 only,(x+4)_+y_=25 only,Cannot be determined,A,c4,conic_sections"
"Ellipse with vertices (±13 0) and foci (±5 0) has equation:,x_/169 + y_/144 = 1,x_/144 + y_/169 = 1,x_/25 + y_/144 = 1,x_/169 + y_/25 = 1,A,c3,conic_sections"
"For parabola symmetric about y-axis passing through (2 -3) the equation is:,3x_ = -4y,x_ = -3y,3x_ = 4y,4x_ = -3y,A,c3,conic_sections"
"The conjugate axis of hyperbola y_/25 - x_/16 = 1 has length:,25,16,10,8,D,c2,conic_sections"
"A rod of length 15 cm with end A at (x 0) and end B at (0 y) satisfies:,x_ + y_ = 225,x_/15 + y_/15 = 1,x + y = 15,x_ + y_ = 15,A,c3,conic_sections"
"The foci of hyperbola 9y_ - 4x_ = 36 are:,(0 ±Ã13),(±Ã13 0),(0 ±3),(0 ±2),A,c3,conic_sections"
"Circle x_ + y_ - 4x - 8y - 45 = 0 has radius:,Ã65,9,7,Ã85,D,c3,conic_sections"
"Parabola with vertex (0 0) and focus (0 -2) has equation:,x_ = -8y,y_ = -8x,x_ = 8y,y_ = 8x,A,c2,conic_sections"
"The eccentricity of ellipse 4x_ + 9y_ = 36 is:,Ã5/3,2/3,1/2,Ã5/2,A,c3,conic_sections"
"Hyperbola with vertices (0 ±3) and foci (0 ±5) has equation:,y_/9 - x_/16 = 1,x_/9 - y_/16 = 1,y_/25 - x_/9 = 1,x_/16 - y_/9 = 1,A,c3,conic_sections"
"The directrix of parabola x_ = -9y is:,y = 9/4,y = -9/4,x = 9/4,x = -9/4,A,c3,conic_sections"
"For ellipse with length of major axis 26 and foci (±5 0) the equation is:,x_/169 + y_/144 = 1,x_/26 + y_/25 = 1,x_/676 + y_/651 = 1,None of these,A,c3,conic_sections"
"A circle making intercepts a and b on coordinate axes passing through origin has equation:,x_ + y_ = ax + by,x_ + y_ - ax - by = 0,2(x_ + y_) = ax + by,x_ + y_ + ax + by = 0,B,c4,conic_sections"
